locationName,color,locUUID,rainfall,recharge.total.poor_quality,recharge.total.total,recharge.total.non_command,recharge.total.command,loss,draft.total.total,draft.total.non_command,currAvailabilityForAllPurposes,stage,category.total,category.non_command,area.total.commandArea,area.total.nonCommandArea,area.total.poorQualityArea,area.total.hillyArea,area.total.forestArea,area.total.totalArea,area.total.pavedArea,area.total.unpavedArea,locationUUID,rechargeData.total.poor_quality,rechargeData.total.total,rechargeData.total.non_command,rechargeData.total.command,draftData.total.total,draftData.total.non_command,currentAvailabilityForAllPurposes,stageOfExtraction,category.poor_quality,category.command,draft.total.command,draftData.total.command,draft.total.poor_quality,draftData.total.poor_quality
NARDIGANJ,,42052d2a-e099-4277-afea-56e72f92b0cc,1041.8,0.0,2857.08,2786.62,70.46,,1811.66,1811.66,,,semi_critical,semi_critical,0.0,10189.0,0.0,0.0,0.0,10189.0,0.0,0.0,42052d2a-e099-4277-afea-56e72f92b0cc,0.0,2857.08,2786.62,70.46,1811.66,1811.66,,,,,,,,
Mashrakh,,742d2376-cff8-4911-99cb-7a57856b3eb6,1123.8,0.0,7758.1900000000005,1404.22,6353.969999999999,,2680.28,693.26,,,safe,safe,8935.0,4577.0,0.0,0.0,0.0,13512.0,0.0,0.0,742d2376-cff8-4911-99cb-7a57856b3eb6,0.0,7758.1900000000005,1404.22,6353.969999999999,2680.28,693.26,,,,safe,1987.02,1987.02,,
JALALGARH,,baa87b1a-2cfa-4b23-a45b-59fee58b40ef,1598.1999999999998,0.0,8441.130000000001,575.72,7865.41,,3460.1499999999996,350.02,,,safe,safe,10000.0,1320.0,0.0,0.0,0.0,11320.0,0.0,0.0,baa87b1a-2cfa-4b23-a45b-59fee58b40ef,0.0,8441.130000000001,575.72,7865.41,3460.1499999999996,350.02,,,,safe,3110.13,3110.13,,
Ara Sadar,,aee59ee5-2db8-473a-ae0c-38ace02673a0,1051.4999999999998,0.0,5547.32,5160.17,387.15,,4253.05,4163.33,,,semi_critical,semi_critical,200.0,18291.0,0.0,0.0,0.0,18491.0,0.0,0.0,aee59ee5-2db8-473a-ae0c-38ace02673a0,0.0,5547.32,5160.17,387.15,4253.05,4163.33,,,,safe,89.72,89.72,,
KOTWA,,ea096053-b119-42e5-a6da-2ac0adf7ffdb,1197.7,0.0,8814.34,2517.51,6296.83,,2545.94,1029.49,,,safe,safe,7095.61,8107.39,0.0,0.0,0.0,15203.0,0.0,0.0,ea096053-b119-42e5-a6da-2ac0adf7ffdb,0.0,8814.34,2517.51,6296.83,2545.94,1029.49,,,,safe,1516.4499999999998,1516.4499999999998,,
Saraigarh-Bhaptiyahi,,da396f14-9062-448f-9f7a-9047c6699a12,1273.7999999999997,0.0,8234.61,5052.88,3181.73,,1618.48,1008.99,,,safe,safe,2875.7,17765.3,0.0,0.0,0.0,20641.0,0.0,0.0,da396f14-9062-448f-9f7a-9047c6699a12,0.0,8234.61,5052.88,3181.73,1618.48,1008.99,,,,safe,609.49,609.49,,
Daniyawan,,8969909a-d14b-4a00-86db-e678765586cf,1074.8,0.0,2108.73,2025.34,83.39,,1239.61,1239.61,,,safe,safe,0.0,6510.0,0.0,0.0,0.0,6510.0,0.0,0.0,8969909a-d14b-4a00-86db-e678765586cf,0.0,2108.73,2025.34,83.39,1239.61,1239.61,,,,,,,,
Nawanagar,,4c06486f-af87-40e7-a846-7b95ce81d3f0,975.4000000000001,0.0,5085.99,2826.27,2259.7200000000003,,1686.0,814.44,,,safe,safe,4032.0,15758.0,0.0,0.0,0.0,19790.0,0.0,0.0,4c06486f-af87-40e7-a846-7b95ce81d3f0,0.0,5085.99,2826.27,2259.7200000000003,1686.0,814.44,,,,safe,871.56,871.56,,
Cheria Bariyarpur,,4bf6fe8b-24f9-41f6-b000-de43de31899d,1090.7,0.0,3310.62,3063.06,247.56,,2059.05,2059.05,,,safe,semi_critical,0.0,10387.0,0.0,0.0,0.0,10387.0,0.0,0.0,4bf6fe8b-24f9-41f6-b000-de43de31899d,0.0,3310.62,3063.06,247.56,2059.05,2059.05,,,,,,,,
SABOUR,,445d6001-fc1a-4f42-979c-5df6ac793c83,1207.8999999999999,0.0,3109.29,3063.7999999999997,45.49,,1112.12,1112.12,,,safe,safe,0.0,11495.0,0.0,0.0,0.0,11495.0,0.0,0.0,445d6001-fc1a-4f42-979c-5df6ac793c83,0.0,3109.29,3063.7999999999997,45.49,1112.12,1112.12,,,,,,,,
BARAHAT,,b54973ff-75e5-41e1-b823-0ccc32ede593,974.9,0.0,4628.24,2141.55,2486.69,,1443.54,594.62,,,safe,safe,5210.0,9518.0,0.0,0.0,0.0,14728.0,0.0,0.0,b54973ff-75e5-41e1-b823-0ccc32ede593,0.0,4628.24,2141.55,2486.69,1443.54,594.62,,,,safe,848.92,848.92,,
BAJPATTI,,8e56446c-72cc-48c8-90a7-daf7580e5afa,1293.1000000000001,0.0,4417.59,4373.18,44.41,,1470.65,1470.65,,,safe,safe,0.0,13932.0,0.0,0.0,0.0,13932.0,0.0,0.0,8e56446c-72cc-48c8-90a7-daf7580e5afa,0.0,4417.59,4373.18,44.41,1470.65,1470.65,,,,,,,,
Harsiddhi,,bf0801a1-b426-41b5-b92a-480b998a38b0,1197.7,0.0,11957.9,2315.0299999999997,9642.869999999999,,5550.57,1539.04,,,safe,semi_critical,12800.0,6210.0,0.0,0.0,0.0,19010.0,0.0,0.0,bf0801a1-b426-41b5-b92a-480b998a38b0,0.0,11957.9,2315.0299999999997,9642.869999999999,5550.57,1539.04,,,,safe,4011.53,4011.53,,
PATEPUR,,e4f8448c-20f6-4d7d-ac89-3381676fbeeb,1176.5,0.0,6318.64,4572.68,1745.96,,5459.8,4843.23,,,critical,over_exploited,2033.0,11970.0,0.0,0.0,0.0,14003.0,0.0,0.0,e4f8448c-20f6-4d7d-ac89-3381676fbeeb,0.0,6318.64,4572.68,1745.96,5459.8,4843.23,,,,safe,616.5699999999999,616.5699999999999,,
ATHMALGOLA,,1624268a-eb65-460d-838c-d69a8541865b,1074.8,0.0,1303.0400000000002,1256.98,46.06,,1051.3400000000001,1051.3400000000001,,,semi_critical,critical,0.0,4025.0,0.0,0.0,0.0,4025.0,0.0,0.0,1624268a-eb65-460d-838c-d69a8541865b,0.0,1303.0400000000002,1256.98,46.06,1051.3400000000001,1051.3400000000001,,,,,,,,
Gaura Bauram,,b21c1ab6-05b2-4fbc-8fe6-a51ce51af5aa,1123.6,0.0,3551.95,3455.48,96.47,,1817.25,1817.25,,,safe,safe,0.0,11619.0,0.0,0.0,0.0,11619.0,0.0,0.0,b21c1ab6-05b2-4fbc-8fe6-a51ce51af5aa,0.0,3551.95,3455.48,96.47,1817.25,1817.25,,,,,,,,
ROH,,f2316d6f-2ded-4054-81a0-3c6626c24d6f,1041.8,0.0,5439.74,4470.57,969.17,,2485.11,1859.88,,,safe,safe,1593.0,14809.0,0.0,0.0,0.0,16402.0,0.0,0.0,f2316d6f-2ded-4054-81a0-3c6626c24d6f,0.0,5439.74,4470.57,969.17,2485.11,1859.88,,,,semi_critical,625.23,625.23,,
BIHPUR,,699d6e90-526a-4da6-9280-0db2e7bc5fb7,1207.8999999999999,0.0,4473.03,4432.25,40.78,,2119.79,2119.79,,,safe,safe,0.0,15208.0,0.0,0.0,0.0,15208.0,0.0,0.0,699d6e90-526a-4da6-9280-0db2e7bc5fb7,0.0,4473.03,4432.25,40.78,2119.79,2119.79,,,,,,,,
CHANPATIA,,a7d1d451-f47f-4c53-912e-93d65d90d46e,1472.0,0.0,13647.81,5611.42,8036.39,,1869.27,994.1199999999999,,,safe,safe,8974.0,16812.0,0.0,0.0,0.0,25786.0,0.0,0.0,a7d1d451-f47f-4c53-912e-93d65d90d46e,0.0,13647.81,5611.42,8036.39,1869.27,994.1199999999999,,,,safe,875.1500000000001,875.1500000000001,,
Dhoraiya,,7a3cd047-9ac8-4a07-8a69-df16b04a662a,974.9000000000001,0.0,6734.120000000001,5127.05,1607.0700000000002,,4374.34,3051.95,,,semi_critical,safe,3200.0,20214.0,0.0,0.0,0.0,23414.0,0.0,0.0,7a3cd047-9ac8-4a07-8a69-df16b04a662a,0.0,6734.120000000001,5127.05,1607.0700000000002,4374.34,3051.95,,,,critical,1322.3899999999999,1322.3899999999999,,
SARAIYA,,ecb14fa7-683f-4368-bdb3-3fbb502a4d6d,1154.5,0.0,11730.42,6110.62,5619.8,,6254.63,3702.19,,,safe,safe,6254.56,18429.44,0.0,0.0,0.0,24684.0,0.0,0.0,ecb14fa7-683f-4368-bdb3-3fbb502a4d6d,0.0,11730.42,6110.62,5619.8,6254.63,3702.19,,,,safe,2552.44,2552.44,,
Desri,,993a804e-f95c-4692-ac15-910b32ae52c7,1176.5,0.0,2547.57,2389.75,157.82,,1605.29,1605.29,,,semi_critical,semi_critical,0.0,7416.0,0.0,0.0,0.0,7416.0,0.0,0.0,993a804e-f95c-4692-ac15-910b32ae52c7,0.0,2547.57,2389.75,157.82,1605.29,1605.29,,,,,,,,
ITARHI,,8a7cc870-04fd-4c63-a4e4-776138c54de6,975.4000000000001,0.0,12573.59,3378.18,9195.41,,4915.91,1971.8200000000002,,,safe,safe,12780.0,10630.0,0.0,0.0,0.0,23410.0,0.0,0.0,8a7cc870-04fd-4c63-a4e4-776138c54de6,0.0,12573.59,3378.18,9195.41,4915.91,1971.8200000000002,,,,safe,2944.09,2944.09,,
HUSSAINGANJ,,067e1c8a-91d6-4676-aa40-cb23695744c1,1135.4,0.0,4608.73,2206.32,2402.41,,2492.1499999999996,1363.74,,,safe,safe,2649.59,7049.41,0.0,0.0,0.0,9699.0,0.0,0.0,067e1c8a-91d6-4676-aa40-cb23695744c1,0.0,4608.73,2206.32,2402.41,2492.1499999999996,1363.74,,,,safe,1128.4099999999999,1128.4099999999999,,
Sattar Kataiya,,9b37c95f-3fcd-4c6c-8bba-16f34c94c75f,1692.8999999999999,0.0,9185.01,5205.08,3979.9300000000003,,2770.77,1911.99,,,safe,safe,2240.0,12834.0,0.0,0.0,0.0,15074.0,0.0,0.0,9b37c95f-3fcd-4c6c-8bba-16f34c94c75f,0.0,9185.01,5205.08,3979.9300000000003,2770.77,1911.99,,,,safe,858.78,858.78,,
PARSA,,c6904b89-246a-487a-ba0a-ad19e78df654,1123.8,0.0,5584.87,1390.38,4194.49,,2048.98,630.04,,,safe,safe,6112.0,4293.0,0.0,0.0,0.0,10405.0,0.0,0.0,c6904b89-246a-487a-ba0a-ad19e78df654,0.0,5584.87,1390.38,4194.49,2048.98,630.04,,,,safe,1418.94,1418.94,,
TURKAULIYA,,8f31da5b-5fcc-488f-95f9-b1f814f6a219,1197.7,0.0,7875.320000000001,2753.39,5121.93,,2885.9700000000003,1280.6599999999999,,,safe,safe,5800.0,7811.0,0.0,0.0,0.0,13611.0,0.0,0.0,8f31da5b-5fcc-488f-95f9-b1f814f6a219,0.0,7875.320000000001,2753.39,5121.93,2885.9700000000003,1280.6599999999999,,,,safe,1605.31,1605.31,,
AKBARPUR,,d1adc9dc-ea17-4051-a560-fd8b2f83fa1e,1041.8,0.0,5999.28,5188.58,810.7,,4069.08,3279.4,,,semi_critical,semi_critical,1593.0,18208.0,0.0,0.0,0.0,19801.0,0.0,0.0,d1adc9dc-ea17-4051-a560-fd8b2f83fa1e,0.0,5999.28,5188.58,810.7,4069.08,3279.4,,,,over_exploited,789.6800000000001,789.6800000000001,,
JHAJHA,,2eb75768-7af2-4b28-9337-cf83e315a2c9,1107.3,0.0,4209.1,3597.6600000000003,611.44,,2545.11,1468.27,,,safe,safe,487.5,33699.5,0.0,0.0,0.0,42739.0,0.0,0.0,2eb75768-7af2-4b28-9337-cf83e315a2c9,0.0,4209.1,3597.6600000000003,611.44,2545.11,1468.27,,,,over_exploited,1076.8400000000001,1076.8400000000001,,
MANPUR,,01bbee00-a1b8-40ed-9cfc-c382fd1232fa,1003.9000000000002,0.0,3325.3799999999997,3203.06,122.32000000000001,,1956.2200000000003,1956.2200000000003,,,safe,safe,0.0,12423.0,0.0,0.0,0.0,12423.0,0.0,0.0,01bbee00-a1b8-40ed-9cfc-c382fd1232fa,0.0,3325.3799999999997,3203.06,122.32000000000001,1956.2200000000003,1956.2200000000003,,,,,,,,
MOHANIA,,b1aa4f13-e911-4004-836f-3718e61ca798,1126.3000000000002,0.0,9537.19,7740.2,1796.9900000000002,,4810.82,3678.64,,,safe,safe,2278.0,26274.0,0.0,0.0,0.0,28552.0,0.0,0.0,b1aa4f13-e911-4004-836f-3718e61ca798,0.0,9537.19,7740.2,1796.9900000000002,4810.82,3678.64,,,,safe,1132.18,1132.18,,
CHAUGAIN,,6d102c9a-bc0f-4488-9ce4-059e37b9ec75,975.4000000000002,0.0,2111.47,1026.24,1085.23,,1162.05,720.01,,,safe,semi_critical,1045.0,4384.0,0.0,0.0,0.0,5429.0,0.0,0.0,6d102c9a-bc0f-4488-9ce4-059e37b9ec75,0.0,2111.47,1026.24,1085.23,1162.05,720.01,,,,safe,442.03999999999996,442.03999999999996,,
SONEPUR,,ed4de8cf-e5cc-4b9e-bb0f-4a83dc2b8ce9,1123.8,0.0,4685.62,4608.35,77.27000000000001,,2825.81,2825.81,,,safe,safe,0.0,16790.0,0.0,0.0,0.0,16790.0,0.0,0.0,ed4de8cf-e5cc-4b9e-bb0f-4a83dc2b8ce9,0.0,4685.62,4608.35,77.27000000000001,2825.81,2825.81,,,,,,,,
KHUSRUPUR,,88adf3db-1052-4fdf-9e71-9c474be01c1a,1074.8000000000002,0.0,2037.66,1844.26,193.39999999999998,,1270.74,1270.74,,,safe,semi_critical,0.0,6139.0,0.0,0.0,0.0,6139.0,0.0,0.0,88adf3db-1052-4fdf-9e71-9c474be01c1a,0.0,2037.66,1844.26,193.39999999999998,1270.74,1270.74,,,,,,,,
KURHANI,,0c7ddd00-a257-40f3-b03c-40f9303515e5,1154.5,0.0,11373.5,7382.06,3991.4399999999996,,7241.960000000001,4726.46,,,semi_critical,semi_critical,4371.65,21653.35,0.0,0.0,0.0,26025.0,0.0,0.0,0c7ddd00-a257-40f3-b03c-40f9303515e5,0.0,11373.5,7382.06,3991.4399999999996,7241.960000000001,4726.46,,,,semi_critical,2515.5,2515.5,,
BALIA,,404a43e3-18c8-4c38-afaa-9c98990fd181,1090.7,0.0,4393.63,4352.05,41.58,,2744.43,2744.43,,,safe,semi_critical,0.0,14888.0,0.0,0.0,0.0,14888.0,0.0,0.0,404a43e3-18c8-4c38-afaa-9c98990fd181,0.0,4393.63,4352.05,41.58,2744.43,2744.43,,,,,,,,
TETARIA,,f6e7434e-b5f1-49bb-a5ae-b77d0a25fd0d,1197.7,0.0,2608.1899999999996,2514.71,93.48,,1285.19,1285.19,,,safe,safe,0.0,8035.0,0.0,0.0,0.0,8035.0,0.0,0.0,f6e7434e-b5f1-49bb-a5ae-b77d0a25fd0d,0.0,2608.1899999999996,2514.71,93.48,1285.19,1285.19,,,,,,,,
Sour Bazar,,ec769cf7-1373-4b4d-88cc-0a262a14aed9,1692.8999999999999,0.0,9770.09,6479.62,3290.4700000000003,,4181.280000000001,3708.1800000000003,,,safe,safe,2521.0,16328.0,0.0,0.0,0.0,18849.0,0.0,0.0,ec769cf7-1373-4b4d-88cc-0a262a14aed9,0.0,9770.09,6479.62,3290.4700000000003,4181.280000000001,3708.1800000000003,,,,safe,473.1,473.1,,
Agiaon,,6f30f251-4121-47e2-ac91-9c9900d4e830,1051.4999999999998,0.0,6946.07,2972.9,3973.17,,1985.74,901.0,,,safe,safe,4907.0,10692.0,0.0,0.0,0.0,15599.0,0.0,0.0,6f30f251-4121-47e2-ac91-9c9900d4e830,0.0,6946.07,2972.9,3973.17,1985.74,901.0,,,,safe,1084.74,1084.74,,
NABINAGAR,,0630e012-c3f5-4d24-bdf4-4b67f94a852d,974.9,0.0,16918.94,10572.039999999999,6346.9,,5258.799999999999,2486.2400000000002,,,safe,safe,3110.0,50796.0,0.0,0.0,0.0,53906.0,0.0,0.0,0630e012-c3f5-4d24-bdf4-4b67f94a852d,0.0,16918.94,10572.039999999999,6346.9,5258.799999999999,2486.2400000000002,,,,safe,2772.56,2772.56,,
Chewara,,f600e067-6fe9-45b9-951c-989cc4c193b7,1008.4000000000001,0.0,3236.92,3029.6099999999997,207.31,,1654.63,1654.63,,,safe,safe,0.0,11506.0,0.0,0.0,0.0,11506.0,0.0,0.0,f600e067-6fe9-45b9-951c-989cc4c193b7,0.0,3236.92,3029.6099999999997,207.31,1654.63,1654.63,,,,,,,,
Barhara,,48ea8c99-15f8-4eed-a335-83c633ec250b,1051.5,0.0,5183.68,5154.129999999999,29.549999999999997,,2347.86,2347.86,,,safe,safe,0.0,20807.0,0.0,0.0,0.0,20807.0,0.0,0.0,48ea8c99-15f8-4eed-a335-83c633ec250b,0.0,5183.68,5154.129999999999,29.549999999999997,2347.86,2347.86,,,,,,,,
PANDARAK,,8f60259d-19b4-4aa6-9a8f-2e63aff6c738,1074.8,0.0,6064.85,5901.41,163.44,,2447.68,2447.68,,,safe,safe,0.0,20489.0,0.0,0.0,0.0,20489.0,0.0,0.0,8f60259d-19b4-4aa6-9a8f-2e63aff6c738,0.0,6064.85,5901.41,163.44,2447.68,2447.68,,,,,,,,
KHUDABANDPUR,,3c5053fc-cb9d-448c-89fa-9ce1c21ab388,1090.7,0.0,1508.83,1473.0099999999998,35.82,,1170.97,1170.97,,,semi_critical,semi_critical,0.0,4727.0,0.0,0.0,0.0,4727.0,0.0,0.0,3c5053fc-cb9d-448c-89fa-9ce1c21ab388,0.0,1508.83,1473.0099999999998,35.82,1170.97,1170.97,,,,,,,,
Chandan,,d162d7b9-3ffc-4ec6-af9b-ecabf2c56f04,974.9,0.0,6891.38,6538.41,352.97,,970.1200000000001,962.95,,,safe,safe,779.2,29983.8,0.0,0.0,0.0,45747.0,0.0,0.0,d162d7b9-3ffc-4ec6-af9b-ecabf2c56f04,0.0,6891.38,6538.41,352.97,970.1200000000001,962.95,,,,safe,7.17,7.17,,
Pirpainty,,42cbe08d-387d-48c9-bacc-0e8920953a9d,1207.8999999999999,0.0,9711.57,9655.28,56.29,,3120.0,3120.0,,,safe,safe,0.0,35006.0,0.0,0.0,0.0,35006.0,0.0,0.0,42cbe08d-387d-48c9-bacc-0e8920953a9d,0.0,9711.57,9655.28,56.29,3120.0,3120.0,,,,,,,,
BENIPUR,,18f22b4d-4a9d-4f1e-b08a-854fd893217e,1123.6,0.0,5168.95,4730.52,438.43,,2884.07,2807.14,,,safe,safe,429.44,15829.56,0.0,0.0,0.0,16259.0,0.0,0.0,18f22b4d-4a9d-4f1e-b08a-854fd893217e,0.0,5168.95,4730.52,438.43,2884.07,2807.14,,,,safe,76.93,76.93,,
Chhorahi,,92776a74-60c1-48b1-b3da-4cdd4fe8746f,1090.7,0.0,3116.0099999999998,3075.86,40.15,,1944.97,1944.97,,,safe,semi_critical,0.0,10299.0,0.0,0.0,0.0,10299.0,0.0,0.0,92776a74-60c1-48b1-b3da-4cdd4fe8746f,0.0,3116.0099999999998,3075.86,40.15,1944.97,1944.97,,,,,,,,
PARSAUNI,,dd13c014-2549-4ccc-b6a2-eebd4aef132f,1293.1000000000001,0.0,2016.8700000000001,1971.5700000000002,45.3,,903.28,903.28,,,safe,safe,0.0,5914.0,0.0,0.0,0.0,5914.0,0.0,0.0,dd13c014-2549-4ccc-b6a2-eebd4aef132f,0.0,2016.8700000000001,1971.5700000000002,45.3,903.28,903.28,,,,,,,,
CHHATAPUR,,de60d972-388d-4ed1-82de-9e68ddfcee61,1273.8,0.0,18021.22,5983.93,12037.29,,5460.34,3650.79,,,safe,safe,5511.6,25763.4,0.0,0.0,0.0,31275.0,0.0,0.0,de60d972-388d-4ed1-82de-9e68ddfcee61,0.0,18021.22,5983.93,12037.29,5460.34,3650.79,,,,safe,1809.5500000000002,1809.5500000000002,,
NAVKOTHI,,8f1c2a1e-6951-498d-90b8-7af6b1cfbe45,1090.6999999999998,0.0,1759.0500000000002,1614.58,144.47,,1272.4099999999999,1272.4099999999999,,,semi_critical,semi_critical,0.0,5268.0,0.0,0.0,0.0,5268.0,0.0,0.0,8f1c2a1e-6951-498d-90b8-7af6b1cfbe45,0.0,1759.0500000000002,1614.58,144.47,1272.4099999999999,1272.4099999999999,,,,,,,,
Bisfi,,4c9f7323-7905-47a3-b2ef-80cedc72209c,1293.3,0.0,6303.55,5529.59,773.96,,3757.83,2555.58,,,safe,safe,200.0,17922.0,0.0,0.0,0.0,18122.0,0.0,0.0,4c9f7323-7905-47a3-b2ef-80cedc72209c,0.0,6303.55,5529.59,773.96,3757.83,2555.58,,,,over_exploited,1202.25,1202.25,,
Ujiyarpur,,4e13927d-8c78-4a0f-ac82-9f9f398a3b0f,1192.3,0.0,6290.41,6141.43,148.98000000000002,,4941.73,4941.73,,,semi_critical,semi_critical,0.0,17122.0,0.0,0.0,0.0,17122.0,0.0,0.0,4e13927d-8c78-4a0f-ac82-9f9f398a3b0f,0.0,6290.41,6141.43,148.98000000000002,4941.73,4941.73,,,,,,,,
Madhwapur,,9835bb30-a18f-438a-ae34-7f424af39d86,1293.3,0.0,3954.27,3394.1,560.1700000000001,,2404.05,2386.3599999999997,,,safe,semi_critical,168.0,10665.0,0.0,0.0,0.0,10833.0,0.0,0.0,9835bb30-a18f-438a-ae34-7f424af39d86,0.0,3954.27,3394.1,560.1700000000001,2404.05,2386.3599999999997,,,,safe,17.69,17.69,,
